32,2,2,2,2,2,2,2,2,,,,,,,32,32,32,32,32
32,,,,,,,,,,,,,,,33,33,33,33,32
32,,,,,,,,,,,,,,,,,,,32
32,,,,,,,,,,,,,,,,,,,32
32,,,,,,,,,,,,,,,,,,,32
32,,,,,,,,,,,,,,,,,,,32
32,,,,,,,,,,,,2,2,2,2,2,,,32
32,,,,,,,,,,,,,,,,,,,32
32,,,,,,,,,,,,,,,,,,,32
32,,,,,22,23,24,,,,,,,,,,,,32
32,,,,,25,26,27,,,,,,,,,,,,32
32,,,,,28,29,30,,22,23,24,,,,,,,,32
32,,,,,,,,,25,26,27,,,,,,,,32
32,,,,,,,,,28,29,30,,,,,,,,32
32,,,,,,,,,,,,,,,,,,,32
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,
,,,,,,,,,,,,,,,,,,,
